IBEX 35&#174;,8.199,00;8.204,10;0,06;8.240,90;8.140,30;20/01/2021;17:38:00;1,62

ACCIONA;128,7000;-0,16;129,8000;127,5000;60.446;7.775,43;20/01/2021;Cierre
ACERINOX;9,5660;0,86;9,6720;9,5200;424.818;4.075,19;20/01/2021;Cierre
ACS;28,8600;-0,31;29,2400;28,8200;525.332;15.191,25;20/01/2021;Cierre
AENA;135,6000;-0,22;137,5000;134,7000;297.830;40.498,66;20/01/2021;Cierre
ALMIRALL;11,9500;-1,40;12,2200;11,9300;596.202;7.209,57;20/01/2021;Cierre
AMADEUS;56,7400;1,29;57,3200;56,0000;744.073;42.155,73;20/01/2021;Cierre
ARCELORMIT.;19,2220;-0,07;19,4200;18,9840;482.934;9.273,08;20/01/2021;Cierre
B.SANTANDER;2,6885;0,17;2,7350;2,6625;56.048.675;151.986,28;20/01/2021;Cierre
BA.SABADELL;0,3813;-0,08;0,3886;0,3800;33.503.122;12.813,49;20/01/2021;Cierre
BANKIA;1,4580;-2,44;1,5035;1,4425;2.157.604;3.153,90;20/01/2021;Cierre
BANKINTER;4,7790;-0,13;4,8450;4,7380;2.018.178;9.646,64;20/01/2021;Cierre
BBVA;4,0510;0,72;4,0740;4,0140;18.621.280;75.206,42;20/01/2021;Cierre
CAIXABANK;2,1350;-2,73;2,2020;2,1140;14.848.011;31.801,69;20/01/2021;Cierre
CELLNEX;47,6300;1,34;47,8600;47,0600;1.942.911;91.732,68;20/01/2021;Cierre
CIE AUTOMOT.;22,1600;1,93;22,3200;21,8000;143.401;3.173,30;20/01/2021;Cierre
ENAGAS;18,1950;-1,44;18,5700;18,0250;880.752;16.032,79;20/01/2021;Cierre
ENDESA;22,0400;-1,74;22,3500;21,9200;1.240.359;27.358,18;20/01/2021;Cierre
FERROVIAL;20,9100;-0,33;21,1300;20,7600;1.287.907;26.923,27;20/01/2021;Cierre
GRIFOLS CL.A;25,3700;-0,63;25,7500;25,1500;879.703;22.366,08;20/01/2021;Cierre
IAG;1,8185;1,56;1,8440;1,7880;12.540.566;22.789,10;20/01/2021;Cierre
IBERDROLA;11,7300;-0,76;11,8350;11,6500;22.524.251;264.900,09;20/01/2021;Cierre
INDITEX;26,1700;0,81;26,1700;25,7700;3.557.628;92.486,12;20/01/2021;Cierre
INDRA A;7,2550;-0,89;7,3800;7,2150;460.046;3.353,47;20/01/2021;Cierre
INM.COLONIAL;8,2900;1,72;8,2900;8,1200;537.814;4.437,52;20/01/2021;Cierre
MAPFRE;1,5900;1,34;1,5960;1,5780;3.151.810;5.008,21;20/01/2021;Cierre
MELIA HOTELS;5,8350;0,43;5,9700;5,8000;789.464;4.645,36;20/01/2021;Cierre
MERLIN;8,0200;2,82;8,0400;7,8100;822.843;6.570,91;20/01/2021;Cierre
NATURGY;19,7600;-1,59;20,2600;19,6550;743.419;14.725,01;20/01/2021;Cierre
PHARMA MAR;88,6000;1,26;89,5500;87,0500;80.513;7.107,45;20/01/2021;Cierre
R.E.C.;15,8050;-1,03;16,0200;15,7350;1.561.213;24.735,82;20/01/2021;Cierre
REPSOL;8,8460;2,48;8,8720;8,6720;5.764.107;50.719,92;20/01/2021;Cierre
SIEMENS GAME;34,6300;-1,00;35,2000;34,3000;1.104.419;38.346,85;20/01/2021;Cierre
SOLARIA;26,0400;-0,53;26,7200;25,4000;773.183;20.041,71;20/01/2021;Cierre
TELEFONICA;3,7720;0,56;3,7870;3,7180;7.011.878;26.326,62;20/01/2021;Cierre
VISCOFAN;59,6000;-1,08;60,4000;59,3000;55.406;3.304,96;20/01/2021;Cierre
IBEX 35&#174;,8.199,00;8.204,10;0,06;8.240,90;8.140,30;20/01/2021;17:38:00;1,62

ACCIONA;128,7000;-0,16;129,8000;127,5000;60.446;7.775,43;20/01/2021;Cierre
ACERINOX;9,5660;0,86;9,6720;9,5200;424.818;4.075,19;20/01/2021;Cierre
ACS;28,8600;-0,31;29,2400;28,8200;525.332;15.191,25;20/01/2021;Cierre
AENA;135,6000;-0,22;137,5000;134,7000;297.830;40.498,66;20/01/2021;Cierre
ALMIRALL;11,9500;-1,40;12,2200;11,9300;596.202;7.209,57;20/01/2021;Cierre
AMADEUS;56,7400;1,29;57,3200;56,0000;744.073;42.155,73;20/01/2021;Cierre
ARCELORMIT.;19,2220;-0,07;19,4200;18,9840;482.934;9.273,08;20/01/2021;Cierre
B.SANTANDER;2,6885;0,17;2,7350;2,6625;56.048.675;151.986,28;20/01/2021;Cierre
BA.SABADELL;0,3813;-0,08;0,3886;0,3800;33.503.122;12.813,49;20/01/2021;Cierre
BANKIA;1,4580;-2,44;1,5035;1,4425;2.157.604;3.153,90;20/01/2021;Cierre
BANKINTER;4,7790;-0,13;4,8450;4,7380;2.018.178;9.646,64;20/01/2021;Cierre
BBVA;4,0510;0,72;4,0740;4,0140;18.621.280;75.206,42;20/01/2021;Cierre
CAIXABANK;2,1350;-2,73;2,2020;2,1140;14.848.011;31.801,69;20/01/2021;Cierre
CELLNEX;47,6300;1,34;47,8600;47,0600;1.942.911;91.732,68;20/01/2021;Cierre
CIE AUTOMOT.;22,1600;1,93;22,3200;21,8000;143.401;3.173,30;20/01/2021;Cierre
ENAGAS;18,1950;-1,44;18,5700;18,0250;880.752;16.032,79;20/01/2021;Cierre
ENDESA;22,0400;-1,74;22,3500;21,9200;1.240.359;27.358,18;20/01/2021;Cierre
FERROVIAL;20,9100;-0,33;21,1300;20,7600;1.287.907;26.923,27;20/01/2021;Cierre
GRIFOLS CL.A;25,3700;-0,63;25,7500;25,1500;879.703;22.366,08;20/01/2021;Cierre
IAG;1,8185;1,56;1,8440;1,7880;12.540.566;22.789,10;20/01/2021;Cierre
IBERDROLA;11,7300;-0,76;11,8350;11,6500;22.524.251;264.900,09;20/01/2021;Cierre
INDITEX;26,1700;0,81;26,1700;25,7700;3.557.628;92.486,12;20/01/2021;Cierre
INDRA A;7,2550;-0,89;7,3800;7,2150;460.046;3.353,47;20/01/2021;Cierre
INM.COLONIAL;8,2900;1,72;8,2900;8,1200;537.814;4.437,52;20/01/2021;Cierre
MAPFRE;1,5900;1,34;1,5960;1,5780;3.151.810;5.008,21;20/01/2021;Cierre
MELIA HOTELS;5,8350;0,43;5,9700;5,8000;789.464;4.645,36;20/01/2021;Cierre
MERLIN;8,0200;2,82;8,0400;7,8100;822.843;6.570,91;20/01/2021;Cierre
NATURGY;19,7600;-1,59;20,2600;19,6550;743.419;14.725,01;20/01/2021;Cierre
PHARMA MAR;88,6000;1,26;89,5500;87,0500;80.513;7.107,45;20/01/2021;Cierre
R.E.C.;15,8050;-1,03;16,0200;15,7350;1.561.213;24.735,82;20/01/2021;Cierre
REPSOL;8,8460;2,48;8,8720;8,6720;5.764.107;50.719,92;20/01/2021;Cierre
SIEMENS GAME;34,6300;-1,00;35,2000;34,3000;1.104.419;38.346,85;20/01/2021;Cierre
SOLARIA;26,0400;-0,53;26,7200;25,4000;773.183;20.041,71;20/01/2021;Cierre
TELEFONICA;3,7720;0,56;3,7870;3,7180;7.011.878;26.326,62;20/01/2021;Cierre
VISCOFAN;59,6000;-1,08;60,4000;59,3000;55.406;3.304,96;20/01/2021;Cierre
